Player,Salary,season,Player_clean
Stephen Curry,48070014.0,2022-23,stephen curry
John Wall,47345760.0,2022-23,john wall
Russell Westbrook,47080179.0,2022-23,russell westbrook
LeBron James,44474988.0,2022-23,lebron james
Kevin Durant,44119845.0,2022-23,kevin durant
Bradley Beal,43279250.0,2022-23,bradley beal
Damian Lillard,42492492.0,2022-23,damian lillard
Giannis Antetokounmpo,42492492.0,2022-23,giannis antetokounmpo
Paul George,42492492.0,2022-23,paul george
Kawhi Leonard,42492492.0,2022-23,kawhi leonard
Klay Thompson,40600080.0,2022-23,klay thompson
Kyrie Irving,38917057.0,2022-23,kyrie irving
Rudy Gobert,38172414.0,2022-23,rudy gobert
Khris Middleton,37984276.0,2022-23,khris middleton
Anthony Davis,37980720.0,2022-23,anthony davis
Jimmy Butler,37653300.0,2022-23,jimmy butler
Tobias Harris,37633050.0,2022-23,tobias harris
Kemba Walker,37281261.0,2022-23,kemba walker
Luka Doncic,37096500.0,2022-23,luka doncic
Zach LaVine,37096500.0,2022-23,zach lavine
Trae Young,37096500.0,2022-23,trae young
Pascal Siakam,35448672.0,2022-23,pascal siakam
Ben Simmons,35448672.0,2022-23,ben simmons
Myles Turner,35096500.0,2022-23,myles turner
Jrue Holiday,34319520.0,2022-23,jrue holiday
Kristaps Porzingis,33833400.0,2022-23,kristaps porzingis
Devin Booker,33833400.0,2022-23,devin booker
Karl-Anthony Towns,33833400.0,2022-23,karl-anthony towns
Joel Embiid,33616770.0,2022-23,joel embiid
Andrew Wiggins,33616770.0,2022-23,andrew wiggins
CJ McCollum,33333333.0,2022-23,cj mccollum
Nikola Jokic,33047803.0,2022-23,nikola jokic
James Harden,33000000.0,2022-23,james harden
Brandon Ingram,31650600.0,2022-23,brandon ingram
Jamal Murray,31650600.0,2022-23,jamal murray
D'Angelo Russell,31377750.0,2022-23,d'angelo russell
Deandre Ayton,30913750.0,2022-23,deandre ayton
Shai Gilgeous-Alexander,30913750.0,2022-23,shai gilgeous-alexander
Michael Porter,30913750.0,2022-23,michael porter
Donovan Mitchell,30913750.0,2022-23,donovan mitchell
Kevin Love,30556968.0,2022-23,kevin love
De'Aaron Fox,30351780.0,2022-23,de'aaron fox
Bam Adebayo,30351780.0,2022-23,bam adebayo
Jayson Tatum,30351780.0,2022-23,jayson tatum
Gordon Hayward,30075000.0,2022-23,gordon hayward
Jaylen Brown,29776785.0,2022-23,jaylen brown
Jaren Jackson Jr,28946605.0,2022-23,jaren jackson jr
Chris Paul,28400000.0,2022-23,chris paul
Kyle Lowry,28333334.0,2022-23,kyle lowry
Jalen Brunson,27733332.0,2022-23,jalen brunson
DeMar DeRozan,27300000.0,2022-23,demar derozan
Al Horford,26500000.0,2022-23,al horford
Draymond Green,25806468.0,2022-23,draymond green
Julius Randle,23760000.0,2022-23,julius randle
John Collins,23500000.0,2022-23,john collins
Mike Conley,22680000.0,2022-23,mike conley
Malcolm Brogdon,22600000.0,2022-23,malcolm brogdon
Anfernee Simons,22321429.0,2022-23,anfernee simons
Nikola Vucevic,22000000.0,2022-23,nikola vucevic
Terry Rozier,21486316.0,2022-23,terry rozier
Fred VanVleet,21250000.0,2022-23,fred vanvleet
Buddy Hield,21177750.0,2022-23,buddy hield
Domantas Sabonis,21100000.0,2022-23,domantas sabonis
Jerami Grant,20955000.0,2022-23,jerami grant
Aaron Gordon,20690909.0,2022-23,aaron gordon
Mikal Bridges,20100000.0,2022-23,mikal bridges
Jarrett Allen,20000000.0,2022-23,jarrett allen
Nicolas Batum,19700319.0,2022-23,nicolas batum
Tim Hardaway Jr,19602273.0,2022-23,tim hardaway jr
Eric Gordon,19568360.0,2022-23,eric gordon
Bojan Bogdanovic,19550000.0,2022-23,bojan bogdanovic
Lonzo Ball,19534884.0,2022-23,lonzo ball
Spencer Dinwiddie,19500000.0,2022-23,spencer dinwiddie
Danilo Gallinari,19479000.0,2022-23,danilo gallinari
Caris LeVert,18796296.0,2022-23,caris levert
Joe Harris,18642857.0,2022-23,joe harris
Harrison Barnes,18352273.0,2022-23,harrison barnes
Clint Capela,18206896.0,2022-23,clint capela
Evan Fournier,18000000.0,2022-23,evan fournier
Bogdan Bogdanovic,18000000.0,2022-23,bogdan bogdanovic
Steven Adams,17926829.0,2022-23,steven adams
Jonathan Isaac,17400000.0,2022-23,jonathan isaac
OG Anunoby,17357143.0,2022-23,og anunoby
Gary Trent Jr,17280000.0,2022-23,gary trent jr
Marcus Smart,17207142.0,2022-23,marcus smart
Derrick White,17142857.0,2022-23,derrick white
Dejounte Murray,17071120.0,2022-23,dejounte murray
Mitchell Robinson,17045454.0,2022-23,mitchell robinson
Duncan Robinson,16902000.0,2022-23,duncan robinson
Norman Powell,16758621.0,2022-23,norman powell
Collin Sexton,16700000.0,2022-23,collin sexton
Markelle Fultz,16500000.0,2022-23,markelle fultz
Lauri Markkanen,16475454.0,2022-23,lauri markkanen
Marcus Morris,16372093.0,2022-23,marcus morris
Davis Bertans,16000000.0,2022-23,davis bertans
Jusuf Nurkic,15625000.0,2022-23,jusuf nurkic
Malik Beasley,15558035.0,2022-23,malik beasley
Luguentz Dort,15277778.0,2022-23,luguentz dort
Will Barton,15059712.0,2022-23,will barton
Tyus Jones,15000000.0,2022-23,tyus jones
Jonas Valanciunas,14700000.0,2022-23,jonas valanciunas
Derrick Rose,14520730.0,2022-23,derrick rose
Kevin Huerter,14508929.0,2022-23,kevin huerter
Christian Wood,14317459.0,2022-23,christian wood
Wendell Carter,14150000.0,2022-23,wendell carter
Kentavious Caldwell-Pope,14004703.0,2022-23,kentavious caldwell-pope
Brook Lopez,13906976.0,2022-23,brook lopez
Patrick Beverley,13801614.0,2022-23,patrick beverley
Doug McDermott,13750000.0,2022-23,doug mcdermott
Luke Kennard,13745455.0,2022-23,luke kennard
Zion Williamson,13534817.0,2022-23,zion williamson
Jordan Clarkson,13340000.0,2022-23,jordan clarkson
Kyle Kuzma,13000000.0,2022-23,kyle kuzma
Gary Harris,13000000.0,2022-23,gary harris
Josh Hart,12960000.0,2022-23,josh hart
Dorian Finney-Smith,12939848.0,2022-23,dorian finney-smith
Kelly Olynyk,12804878.0,2022-23,kelly olynyk
Chris Boucher,12690000.0,2022-23,chris boucher
Kelly Oubre,12600000.0,2022-23,kelly oubre
Marvin Bagley,12500000.0,2022-23,marvin bagley
Robert Covington,12307692.0,2022-23,robert covington
Josh Richardson,12196094.0,2022-23,josh richardson
Ja Morant,12119440.0,2022-23,ja morant
Danny Green,11710528.0,2022-23,danny green
Devonte Graham,11550000.0,2022-23,devonte graham
Terrence Ross,11500000.0,2022-23,terrence ross
Reggie Jackson,11457217.0,2022-23,reggie jackson
Dillon Brooks,11400000.0,2022-23,dillon brooks
Richaun Holmes,11215260.0,2022-23,richaun holmes
Dwight Powell,11080125.0,2022-23,dwight powell
Paolo Banchero,11055120.0,2022-23,paolo banchero
RJ Barrett,10900634.0,2022-23,rj barrett
Bobby Portis,10843350.0,2022-23,bobby portis
DeAndre Jordan,10733758.0,2022-23,deandre jordan
Anthony Edwards,10733400.0,2022-23,anthony edwards
Robert Williams,10714287.0,2022-23,robert williams
Cade Cunningham,10552800.0,2022-23,cade cunningham
PJ Tucker,10490000.0,2022-23,pj tucker
Derrick Favors,10350803.0,2022-23,derrick favors
Mo Bamba,10300000.0,2022-23,mo bamba
Talen Horton-Tucker,10260000.0,2022-23,talen horton-tucker
Jae Crowder,10183800.0,2022-23,jae crowder
Ivica Zubac,10123457.0,2022-23,ivica zubac
Alec Burks,10012800.0,2022-23,alec burks
Reggie Bullock,10012800.0,2022-23,reggie bullock
Chet Holmgren,9891240.0,2022-23,chet holmgren
De'Andre Hunter,9835881.0,2022-23,de'andre hunter
Larry Nance Jr,9672727.0,2022-23,larry nance jr
James Wiseman,9603360.0,2022-23,james wiseman
Landry Shamet,9500000.0,2022-23,landry shamet
Malik Monk,9472219.0,2022-23,malik monk
Jalen Green,9441840.0,2022-23,jalen green
Jakob Poeltl,9398148.0,2022-23,jakob poeltl
Nerlens Noel,9391069.0,2022-23,nerlens noel
Nicolas Claxton,9350000.0,2022-23,nicolas claxton
Dario Saric,9240000.0,2022-23,dario saric
Royce O'Neale,9200000.0,2022-23,royce o'neale
Monte Morris,9125000.0,2022-23,monte morris
Mason Plumlee,9080417.0,2022-23,mason plumlee
Alex Caruso,9030000.0,2022-23,alex caruso
Maxi Kleber,9000000.0,2022-23,maxi kleber
Grayson Allen,8925000.0,2022-23,grayson allen
Darius Garland,8920794.0,2022-23,darius garland
Jabari Smith,8882640.0,2022-23,jabari smith
Isaiah Hartenstein,8854879.0,2022-23,isaiah hartenstein
Kyle Anderson,8780488.0,2022-23,kyle anderson
Victor Oladipo,8750000.0,2022-23,victor oladipo
Daniel Theis,8694369.0,2022-23,daniel theis
LaMelo Ball,8623920.0,2022-23,lamelo ball
Seth Curry,8496653.0,2022-23,seth curry
Evan Mobley,8478720.0,2022-23,evan mobley
Gary Payton II,8300000.0,2022-23,gary payton ii
Dewayne Dedmon,8283688.0,2022-23,dewayne dedmon
De'Anthony Melton,8250000.0,2022-23,de'anthony melton
JaMychal Green,8200000.0,2022-23,jamychal green
TJ McConnell,8100000.0,2022-23,tj mcconnell
Keegan Murray,8008440.0,2022-23,keegan murray
Thaddeus Young,8000000.0,2022-23,thaddeus young
Kevon Looney,8000000.0,2022-23,kevon looney
Delon Wright,7804878.0,2022-23,delon wright
Patrick Williams,7775400.0,2022-23,patrick williams
Scottie Barnes,7644600.0,2022-23,scottie barnes
Cedi Osman,7426088.0,2022-23,cedi osman
Coby White,7413955.0,2022-23,coby white
Zach Collins,7350000.0,2022-23,zach collins
Jaden Ivey,7252200.0,2022-23,jaden ivey
Taurean Prince,7100000.0,2022-23,taurean prince
Jae'Sean Tate,7065217.0,2022-23,jae'sean tate
Isaac Okoro,7040880.0,2022-23,isaac okoro
Cody Martin,7000000.0,2022-23,cody martin
Jalen Suggs,6922320.0,2022-23,jalen suggs
Jaxson Hayes,6803012.0,2022-23,jaxson hayes
Khem Birch,6667500.0,2022-23,khem birch
Bennedict Mathurin,6586800.0,2022-23,bennedict mathurin
Joe Ingles,6479000.0,2022-23,joe ingles
Caleb Martin,6479000.0,2022-23,caleb martin
Lonnie Walker,6479000.0,2022-23,lonnie walker
Bruce Brown,6479000.0,2022-23,bruce brown
Patrick Mills,6479000.0,2022-23,patrick mills
Onyeka Okongwu,6395160.0,2022-23,onyeka okongwu
Josh Giddey,6287400.0,2022-23,josh giddey
Rui Hachimura,6263188.0,2022-23,rui hachimura
Rudy Gay,6184500.0,2022-23,rudy gay
Jevon Carter,6025000.0,2022-23,jevon carter
Shaedon Sharpe,6012960.0,2022-23,shaedon sharpe
Otto Porter,6000000.0,2022-23,otto porter
Cameron Payne,6000000.0,2022-23,cameron payne
Justin Holiday,5987975.0,2022-23,justin holiday
Cam Reddish,5954454.0,2022-23,cam reddish
Cameron Johnson,5887899.0,2022-23,cameron johnson
Ricky Rubio,5853659.0,2022-23,ricky rubio
Killian Hayes,5837760.0,2022-23,killian hayes
PJ Washington,5808435.0,2022-23,pj washington
Jonathan Kuminga,5739840.0,2022-23,jonathan kuminga
Pat Connaughton,5728393.0,2022-23,pat connaughton
Tyler Herro,5722116.0,2022-23,tyler herro
Romeo Langford,5634257.0,2022-23,romeo langford
Dyson Daniels,5508600.0,2022-23,dyson daniels
JaVale McGee,5461219.0,2022-23,javale mcgee
Goga Bitadze,5377520.0,2022-23,goga bitadze
Obi Toppin,5348280.0,2022-23,obi toppin
Franz Wagner,5258280.0,2022-23,franz wagner
Kendrick Nunn,5250000.0,2022-23,kendrick nunn
Hamidou Diallo,5200000.0,2022-23,hamidou diallo
Garrett Temple,5155500.0,2022-23,garrett temple
Cory Joseph,5155500.0,2022-23,cory joseph
Torrey Craig,5121951.0,2022-23,torrey craig
Jeremy Sochan,5063520.0,2022-23,jeremy sochan
David Nwaba,5022000.0,2022-23,david nwaba
Nickeil Alexander-Walker,5009633.0,2022-23,nickeil alexander-walker
Furkan Korkmaz,5000000.0,2022-23,furkan korkmaz
Deni Avdija,4916160.0,2022-23,deni avdija
Davion Mitchell,4833600.0,2022-23,davion mitchell
Johnny Davis,4810320.0,2022-23,johnny davis
Ty Jerome,4728948.0,2022-23,ty jerome
Ishmael Smith,4725000.0,2022-23,ishmael smith
Jalen Smith,4670160.0,2022-23,jalen smith
Ziaire Williams,4591680.0,2022-23,ziaire williams
Ousmane Dieng,4569840.0,2022-23,ousmane dieng
Moe Harkless,4564980.0,2022-23,moe harkless
Donte DiVincenzo,4500000.0,2022-23,donte divincenzo
Jeff Green,4500000.0,2022-23,jeff green
Devin Vassell,4437000.0,2022-23,devin vassell
Matisse Thybulle,4379526.0,2022-23,matisse thybulle
Jarred Vanderbilt,4374000.0,2022-23,jarred vanderbilt
James Bouknight,4362240.0,2022-23,james bouknight
Brandon Clarke,4343919.0,2022-23,brandon clarke
Jalen Williams,4341480.0,2022-23,jalen williams
Grant Williams,4306281.0,2022-23,grant williams
Darius Bazley,4264628.0,2022-23,darius bazley
Tyrese Haliburton,4215120.0,2022-23,tyrese haliburton
Nassir Little,4171548.0,2022-23,nassir little
Josh Primo,4144320.0,2022-23,josh primo
Jalen Duren,4124280.0,2022-23,jalen duren
Gorgui Dieng,4105236.0,2022-23,gorgui dieng
Danuel House,4105000.0,2022-23,danuel house
Boban Marjanovic,4101478.0,2022-23,boban marjanovic
Justise Winslow,4097561.0,2022-23,justise winslow
Dylan Windler,4037277.0,2022-23,dylan windler
Stanley Johnson,4022164.0,2022-23,stanley johnson
Kira Lewis,4004280.0,2022-23,kira lewis
Terence Davis,4000000.0,2022-23,terence davis
George Hill,4000000.0,2022-23,george hill
Chris Duarte,3936960.0,2022-23,chris duarte
Alex Len,3918600.0,2022-23,alex len
Ochai Agbaji,3918360.0,2022-23,ochai agbaji
Jordan Poole,3901399.0,2022-23,jordan poole
Keldon Johnson,3873024.0,2022-23,keldon johnson
Sviatoslav Mykhailiuk,3846895.0,2022-23,sviatoslav mykhailiuk
James Johnson,3841067.0,2022-23,james johnson
Aaron Nesmith,3804360.0,2022-23,aaron nesmith
Moses Moody,3740160.0,2022-23,moses moody
Mark Williams,3722040.0,2022-23,mark williams
Cole Anthony,3613680.0,2022-23,cole anthony
Corey Kispert,3552840.0,2022-23,corey kispert
AJ Griffin,3536160.0,2022-23,aj griffin
Goran Dragic,3523762.0,2022-23,goran dragic
Mike Muscala,3500000.0,2022-23,mike muscala
Georges Niang,3465000.0,2022-23,georges niang
Chuma Okeke,3433320.0,2022-23,chuma okeke
Isaiah Stewart,3433320.0,2022-23,isaiah stewart
Trey Burke,3423750.0,2022-23,trey burke
Amir Coffey,3395062.0,2022-23,amir coffey
Alperen Sengun,3375360.0,2022-23,alperen sengun
Tari Eason,3359160.0,2022-23,tari eason
Aleksej Pokusevski,3261480.0,2022-23,aleksej pokusevski
Kevin Porter,3217631.0,2022-23,kevin porter
Trey Murphy,3206520.0,2022-23,trey murphy
Simone Fontecchio,3205128.0,2022-23,simone fontecchio
Andre Drummond,3200000.0,2022-23,andre drummond
Derrick Jones,3200000.0,2022-23,derrick jones
Dalen Terry,3191400.0,2022-23,dalen terry
Sterling Brown,3122602.0,2022-23,sterling brown
Josh Green,3098400.0,2022-23,josh green
Jake LaRavia,3047640.0,2022-23,jake laravia
Tre Mann,3046200.0,2022-23,tre mann
Kevin Knox,3000000.0,2022-23,kevin knox
Saddiq Bey,2959080.0,2022-23,saddiq bey
Malaki Branham,2925600.0,2022-23,malaki branham
Joe Wieskamp,2909261.0,2022-23,joe wieskamp
Kai Jones,2909040.0,2022-23,kai jones
Taj Gibson,2905851.0,2022-23,taj gibson
Bismack Biyombo,2905851.0,2022-23,bismack biyombo
Austin Rivers,2905851.0,2022-23,austin rivers
Wesley Matthews,2905851.0,2022-23,wesley matthews
Udonis Haslem,2905851.0,2022-23,udonis haslem
Serge Ibaka,2905851.0,2022-23,serge ibaka
Andre Iguodala,2905851.0,2022-23,andre iguodala
Markieff Morris,2905851.0,2022-23,markieff morris
Robin Lopez,2905851.0,2022-23,robin lopez
Blake Griffin,2905851.0,2022-23,blake griffin
RJ Hampton,2898243.0,2022-23,rj hampton
Andrew Nicholson,2844429.0,2022-23,andrew nicholson
Precious Achiuwa,2840160.0,2022-23,precious achiuwa
Christian Braun,2808600.0,2022-23,christian braun
Jordan Nwora,2800000.0,2022-23,jordan nwora
Jalen Johnson,2792640.0,2022-23,jalen johnson
Tyrese Maxey,2726880.0,2022-23,tyrese maxey
Bruno Fernando,2717391.0,2022-23,bruno fernando
Walker Kessler,2696400.0,2022-23,walker kessler
Keon Johnson,2681040.0,2022-23,keon johnson
Charles Bassey,2674742.0,2022-23,charles bassey
Dennis Schroeder,2641682.0,2022-23,dennis schroeder
Matthew Dellavedova,2628597.0,2022-23,matthew dellavedova
TJ Warren,2628597.0,2022-23,tj warren
Trey Lyles,2625000.0,2022-23,trey lyles
Zeke Nnaji,2617800.0,2022-23,zeke nnaji
David Roddy,2588640.0,2022-23,david roddy
Isaiah Jackson,2573760.0,2022-23,isaiah jackson
MarJon Beauchamp,2485200.0,2022-23,marjon beauchamp
Usman Garuba,2471160.0,2022-23,usman garuba
Montrezl Harrell,2463490.0,2022-23,montrezl harrell
Frank Kaminsky,2463490.0,2022-23,frank kaminsky
Raul Neto,2463490.0,2022-23,raul neto
Willy Hernangomez,2443581.0,2022-23,willy hernangomez
Theo Maledon,2408891.0,2022-23,theo maledon
Blake Wesley,2385480.0,2022-23,blake wesley
Josh Christopher,2372160.0,2022-23,josh christopher
Isaiah Roby,2330681.0,2022-23,isaiah roby
Lindy Waters III,2316876.0,2022-23,lindy waters iii
Immanuel Quickley,2316240.0,2022-23,immanuel quickley
Wendell Moore,2306520.0,2022-23,wendell moore
John Konchar,2300000.0,2022-23,john konchar
Damian Jones,2298385.0,2022-23,damian jones
Juan Hernangomez,2298385.0,2022-23,juan hernangomez
Bryn Forbes,2298385.0,2022-23,bryn forbes
Rodney McGruder,2298385.0,2022-23,rodney mcgruder
Quentin Grimes,2277000.0,2022-23,quentin grimes
Saben Lee,2266640.0,2022-23,saben lee
Andrew Nembhard,2244111.0,2022-23,andrew nembhard
Nikola Jovic,2239920.0,2022-23,nikola jovic
Payton Pritchard,2239200.0,2022-23,payton pritchard
Vlatko Cancar,2234359.0,2022-23,vlatko cancar
Patrick Baldwin,2226000.0,2022-23,patrick baldwin
TyTy Washington,2210040.0,2022-23,tyty washington
Bones Hyland,2201520.0,2022-23,bones hyland
Bol Bol,2200000.0,2022-23,bol bol
Peyton Watson,2193960.0,2022-23,peyton watson
Marquese Chriss,2193920.0,2022-23,marquese chriss
Udoka Azubuike,2174880.0,2022-23,udoka azubuike
Jaden McDaniels,2161440.0,2022-23,jaden mcdaniels
Jordan McLaughlin,2160000.0,2022-23,jordan mclaughlin
Malachi Flynn,2145720.0,2022-23,malachi flynn
Cam Thomas,2138160.0,2022-23,cam thomas
Juan Toscano-Anderson,2133278.0,2022-23,juan toscano-anderson
Damion Lee,2133278.0,2022-23,damion lee
Dennis Smith,2133278.0,2022-23,dennis smith
Luke Kornet,2133278.0,2022-23,luke kornet
Desmond Bane,2130240.0,2022-23,desmond bane
Jaden Springer,2125200.0,2022-23,jaden springer
Day'Ron Sharpe,2109480.0,2022-23,day'ron sharpe
Santiago Aldama,2094120.0,2022-23,santiago aldama
Frank Ntilikina,2036318.0,2022-23,frank ntilikina
Tony Bradley,2036318.0,2022-23,tony bradley
Caleb Houstan,2000000.0,2022-23,caleb houstan
Jeremiah Robinson-Earl,2000000.0,2022-23,jeremiah robinson-earl
Jaylin Williams,2000000.0,2022-23,jaylin williams
Kenrich Williams,2000000.0,2022-23,kenrich williams
Garrison Mathews,2000000.0,2022-23,garrison mathews
Shake Milton,1997718.0,2022-23,shake milton
Drew Eubanks,1968175.0,2022-23,drew eubanks
Josh Okogie,1968175.0,2022-23,josh okogie
Troy Brown,1968175.0,2022-23,troy brown
Thomas Bryant,1968175.0,2022-23,thomas bryant
Theo Pinson,1968175.0,2022-23,theo pinson
Edmond Sumner,1968175.0,2022-23,edmond sumner
Yuta Watanabe,1968175.0,2022-23,yuta watanabe
Aaron Holiday,1968175.0,2022-23,aaron holiday
Daniel Gafford,1930681.0,2022-23,daniel gafford
Jalen McDaniels,1930681.0,2022-23,jalen mcdaniels
Naz Reid,1930681.0,2022-23,naz reid
Jaylen Nowell,1930681.0,2022-23,jaylen nowell
Terance Mann,1930681.0,2022-23,terance mann
Dean Wade,1930681.0,2022-23,dean wade
Chimezie Metu,1910860.0,2022-23,chimezie metu
KZ Okpala,1902133.0,2022-23,kz okpala
Davon Reed,1902133.0,2022-23,davon reed
Killian Tillie,1901625.0,2022-23,killian tillie
Vernon Carey,1882621.0,2022-23,vernon carey
Keita Bates-Diop,1878720.0,2022-23,keita bates-diop
Moritz Wagner,1878720.0,2022-23,moritz wagner
Thanasis Antetokounmpo,1878720.0,2022-23,thanasis antetokounmpo
Wenyen Gabriel,1878720.0,2022-23,wenyen gabriel
Oshae Brissett,1846738.0,2022-23,oshae brissett
Anthony Gill,1836090.0,2022-23,anthony gill
Ryan Arcidiacono,1836090.0,2022-23,ryan arcidiacono
Isaiah Joe,1836090.0,2022-23,isaiah joe
Justin Jackson,1836090.0,2022-23,justin jackson
Nathan Knight,1836090.0,2022-23,nathan knight
Max Strus,1815677.0,2022-23,max strus
Gabe Vincent,1815677.0,2022-23,gabe vincent
Javonte Green,1815677.0,2022-23,javonte green
Herb Jones,1785000.0,2022-23,herb jones
Tre Jones,1782621.0,2022-23,tre jones
Paul Reed,1782621.0,2022-23,paul reed
Naji Marshall,1782621.0,2022-23,naji marshall
Xavier Tillman,1782621.0,2022-23,xavier tillman
KJ Martin,1782621.0,2022-23,kj martin
Tyrell Terry,1782621.0,2022-23,tyrell terry
Lamar Stevens,1782621.0,2022-23,lamar stevens
Nick Richards,1782621.0,2022-23,nick richards
Omer Yurtseven,1752638.0,2022-23,omer yurtseven
Haywood Highsmith,1752638.0,2022-23,haywood highsmith
Leandro Bolmaro,1709300.0,2022-23,leandro bolmaro
Terry Taylor,1703902.0,2022-23,terry taylor
Jared Butler,1674655.0,2022-23,jared butler
Jericho Sims,1639842.0,2022-23,jericho sims
Kessler Edwards,1637966.0,2022-23,kessler edwards
Sam Hauser,1637966.0,2022-23,sam hauser
Isaiah Todd,1575000.0,2022-23,isaiah todd
Dalano Banton,1563518.0,2022-23,dalano banton
Trendon Watford,1563518.0,2022-23,trendon watford
Greg Brown,1563518.0,2022-23,greg brown
Jock Landale,1563518.0,2022-23,jock landale
Aaron Wiggins,1563518.0,2022-23,aaron wiggins
Miles McBride,1563518.0,2022-23,miles mcbride
Jose Alvarado,1563518.0,2022-23,jose alvarado
Austin Reaves,1563518.0,2022-23,austin reaves
BJ Boston,1563518.0,2022-23,bj boston
Jason Preston,1563518.0,2022-23,jason preston
Daishen Nix,1563518.0,2022-23,daishen nix
Isaiah Livers,1563518.0,2022-23,isaiah livers
Ayo Dosunmu,1563518.0,2022-23,ayo dosunmu
Marko Simonovic,1563518.0,2022-23,marko simonovic
JT Thor,1563518.0,2022-23,jt thor
Vit Krejci,1563518.0,2022-23,vit krejci
