Player,PER,WS,BPM,VORP,season
Dalano Banton,12.9,0.8,-0.8,0.3,2024-25
Ben Simmons,12.4,1.8,-0.5,0.4,2024-25
Ben Simmons,12.6,1.1,-1.0,0.2,2024-25
Ben Simmons,11.9,0.7,0.9,0.2,2024-25
Ja'Kobe Walter,10.8,1.2,-3.0,-0.3,2024-25
Jaxson Hayes,15.8,3.7,-0.3,0.5,2024-25
Cameron Payne,13.8,2.3,-0.2,0.5,2024-25
Jonathan Isaac,16.6,3.4,0.7,0.7,2024-25
DaQuan Jeffries,7.9,0.6,-4.7,-0.7,2024-25
Jusuf Nurkić,15.2,1.5,-1.3,0.2,2024-25
Jusuf Nurkić,12.6,0.5,-3.4,-0.2,2024-25
Jusuf Nurkić,18.4,1.0,1.2,0.4,2024-25
Seth Curry,12.2,1.8,-1.7,0.1,2024-25
Cody Williams,3.7,-1.2,-7.3,-1.4,2024-25
Isaac Okoro,10.7,2.5,-0.5,0.4,2024-25
Oso Ighodaro,11.1,1.6,-2.6,-0.2,2024-25
Jared Butler,15.6,1.4,-1.0,0.3,2024-25
Jared Butler,17.7,0.6,1.0,0.3,2024-25
Jared Butler,14.5,0.8,-2.1,0.0,2024-25
Jamison Battle,10.7,1.7,-2.3,-0.1,2024-25
Noah Clowney,9.2,0.5,-4.1,-0.5,2024-25
Alex Caruso,15.9,3.9,4.0,1.6,2024-25
Kris Murray,9.1,0.7,-3.0,-0.3,2024-25
Dejounte Murray,15.4,0.2,-1.6,0.1,2024-25
Jalen Suggs,14.4,1.1,0.4,0.6,2024-25
Kyle Anderson,15.1,2.8,1.5,0.9,2024-25
Kyle Anderson,14.8,1.5,2.3,0.6,2024-25
Kyle Anderson,15.3,1.3,0.6,0.3,2024-25
Brandon Boston Jr.,12.7,0.7,-2.5,-0.1,2024-25
Dalen Terry,9.6,1.1,-3.8,-0.5,2024-25
Andre Jackson Jr.,8.6,1.2,-3.4,-0.3,2024-25
Zach Collins,16.0,2.7,0.0,0.5,2024-25
Zach Collins,14.4,1.0,-0.1,0.2,2024-25
Zach Collins,17.2,1.7,0.1,0.3,2024-25
Trayce Jackson-Davis,18.5,3.4,1.2,0.8,2024-25
Thomas Bryant,17.2,3.1,0.6,0.6,2024-25
Thomas Bryant,15.8,0.4,0.0,0.1,2024-25
Thomas Bryant,17.4,2.6,0.7,0.6,2024-25
Jalen Smith,18.7,2.9,0.9,0.7,2024-25
Jordan Clarkson,14.5,0.4,-1.5,0.1,2024-25
Gary Payton II,16.2,3.0,1.4,0.8,2024-25
Brandon Miller,14.0,0.4,0.0,0.4,2024-25
Bruce Brown,10.9,0.7,-3.8,-0.4,2024-25
Bruce Brown,12.3,0.4,-2.5,0.0,2024-25
Bruce Brown,10.1,0.2,-4.6,-0.4,2024-25
Immanuel Quickley,17.5,2.5,2.2,1.0,2024-25
Trendon Watford,13.0,0.7,-3.1,-0.3,2024-25
KJ Martin,10.2,1.3,-3.6,-0.4,2024-25
KJ Martin,12.3,1.1,-1.7,0.0,2024-25
KJ Martin,7.9,0.2,-5.6,-0.4,2024-25
Jaden Hardy,10.4,-0.3,-4.7,-0.6,2024-25
Day'Ron Sharpe,19.7,2.7,0.9,0.7,2024-25
Adem Bona,16.5,2.3,-2.7,-0.2,2024-25
Tre Jones,16.3,2.9,1.5,0.8,2024-25
Tre Jones,13.8,1.1,-0.1,0.2,2024-25
Tre Jones,18.8,1.8,3.1,0.6,2024-25
Jaden Ivey,14.7,1.2,0.0,0.5,2024-25
Kelly Olynyk,14.9,1.7,-0.7,0.3,2024-25
Kelly Olynyk,14.9,0.9,0.2,0.2,2024-25
Kelly Olynyk,14.8,0.8,-1.4,0.1,2024-25
Chet Holmgren,19.2,3.2,2.4,1.0,2024-25
Neemias Queta,16.3,3.2,-0.7,0.3,2024-25
Alec Burks,12.8,1.8,0.3,0.5,2024-25
Chris Boucher,18.7,2.7,2.3,0.9,2024-25
Zion Williamson,27.3,2.5,7.0,1.9,2024-25
Khris Middleton,16.7,2.0,0.7,0.6,2024-25
Khris Middleton,17.8,1.7,2.2,0.6,2024-25
Khris Middleton,14.9,0.4,-2.0,0.0,2024-25
KJ Simpson,8.3,-0.4,-5.4,-0.7,2024-25
Shake Milton,11.9,1.3,-2.2,0.0,2024-25
Shake Milton,12.8,1.0,-0.9,0.1,2024-25
Shake Milton,10.5,0.4,-4.0,-0.2,2024-25
Dereck Lively II,20.1,3.4,3.3,1.1,2024-25
Garrison Mathews,11.2,1.5,-1.6,0.1,2024-25
Cam Whitmore,15.5,1.8,0.3,0.5,2024-25
Ryan Rollins,14.0,1.7,-0.5,0.3,2024-25
Marcus Sasser,14.0,1.8,-0.6,0.3,2024-25
Steven Adams,16.6,2.3,0.3,0.5,2024-25
Aaron Holiday,12.2,2.0,-0.2,0.3,2024-25
Karlo Matković,15.6,1.6,-2.0,0.0,2024-25
Caleb Houstan,9.4,1.8,-2.2,0.0,2024-25
Vasilije Micić,6.5,-1.0,-7.0,-1.0,2024-25
Vasilije Micić,6.8,-0.9,-6.8,-0.9,2024-25
Vasilije Micić,-5.2,-0.1,-14.8,-0.1,2024-25
Jaylin Williams,16.4,3.3,4.3,1.2,2024-25
Pelle Larsson,10.2,1.4,-3.1,-0.2,2024-25
Cam Thomas,18.0,1.2,0.3,0.5,2024-25
Lindy Waters III,8.8,1.0,-2.8,-0.2,2024-25
Lindy Waters III,8.4,0.8,-3.1,-0.2,2024-25
Lindy Waters III,11.0,0.2,-1.2,0.0,2024-25
Lonzo Ball,12.2,1.2,0.2,0.4,2024-25
Orlando Robinson,12.9,1.2,-3.4,-0.3,2024-25
Orlando Robinson,12.2,0.1,-2.9,0.0,2024-25
Orlando Robinson,12.9,1.1,-3.5,-0.3,2024-25
Eric Gordon,10.8,0.9,-1.6,0.1,2024-25
Gui Santos,11.7,1.7,-1.7,0.1,2024-25
Landry Shamet,9.7,1.0,-2.4,-0.1,2024-25
Svi Mykhailiuk,9.8,-0.1,-3.5,-0.3,2024-25
Andre Drummond,16.0,1.2,-3.2,-0.2,2024-25
Jabari Walker,15.0,2.0,-0.8,0.2,2024-25
Jay Huff,18.2,2.5,3.5,1.1,2024-25
Drew Eubanks,15.6,1.7,-0.7,0.3,2024-25
Drew Eubanks,15.9,1.2,0.0,0.3,2024-25
Drew Eubanks,14.8,0.5,-2.7,0.0,2024-25
Talen Horton-Tucker,13.8,1.1,-2.4,-0.1,2024-25
Gary Harris,6.9,1.0,-2.7,-0.1,2024-25
Micah Potter,8.5,0.4,-3.5,-0.3,2024-25
Jett Howard,7.1,0.1,-5.3,-0.6,2024-25
DeAndre Jordan,15.4,1.8,-1.2,0.2,2024-25
Quinten Post,14.2,1.7,0.1,0.4,2024-25
Blake Wesley,9.9,0.2,-4.2,-0.4,2024-25
Sandro Mamukelashvili,19.7,2.2,2.3,0.7,2024-25
Marcus Smart,12.4,0.7,-1.5,0.1,2024-25
Marcus Smart,11.3,0.4,-1.2,0.1,2024-25
Marcus Smart,14.0,0.3,-1.9,0.0,2024-25
Jalen Pickett,10.9,1.1,-1.5,0.1,2024-25
Tosan Evbuomwan,11.6,0.6,-3.2,-0.2,2024-25
Antonio Reeves,11.7,0.4,-3.2,-0.2,2024-25
Kyle Lowry,9.8,1.0,-1.3,0.1,2024-25
Reed Sheppard,9.7,0.8,-1.7,0.1,2024-25
Herbert Jones,10.4,0.4,-3.6,-0.3,2024-25
AJ Johnson,7.1,-0.4,-8.1,-1.0,2024-25
AJ Johnson,10.6,0.0,-4.9,0.0,2024-25
AJ Johnson,6.9,-0.4,-8.3,-0.9,2024-25
Maxi Kleber,5.6,0.3,-3.8,-0.3,2024-25
Delon Wright,9.2,0.7,-1.4,0.1,2024-25
Delon Wright,7.4,0.2,-2.5,-0.1,2024-25
Delon Wright,12.4,0.5,0.5,0.1,2024-25
Jericho Sims,10.0,1.3,-3.0,-0.2,2024-25
Jericho Sims,9.9,0.8,-3.5,-0.2,2024-25
Jericho Sims,10.2,0.4,-1.9,0.0,2024-25
Josh Okogie,16.3,1.3,1.5,0.6,2024-25
Josh Okogie,15.8,0.7,0.4,0.2,2024-25
Josh Okogie,16.8,0.6,3.1,0.4,2024-25
Jeff Dowtin,16.1,1.3,0.2,0.3,2024-25
Daniel Theis,12.1,1.0,-3.3,-0.2,2024-25
Cory Joseph,10.9,1.5,-0.8,0.2,2024-25
Zeke Nnaji,12.0,1.2,-1.3,0.1,2024-25
Kessler Edwards,11.3,1.2,-1.4,0.1,2024-25
Pat Connaughton,12.1,1.2,-2.3,0.0,2024-25
Ajay Mitchell,12.0,1.5,-1.6,0.1,2024-25
Brandon Ingram,16.0,0.0,-0.3,0.3,2024-25
Jared McCain,15.2,0.7,0.2,0.3,2024-25
Cam Reddish,7.4,0.7,-2.7,-0.1,2024-25
Jae'Sean Tate,12.3,1.6,-0.7,0.2,2024-25
Olivier-Maxence Prosper,12.6,0.9,-2.1,0.0,2024-25
Jarred Vanderbilt,13.2,1.4,-1.0,0.2,2024-25
Joel Embiid,23.4,1.4,3.5,0.8,2024-25
Monte Morris,13.1,0.8,-1.8,0.0,2024-25
Moritz Wagner,22.3,2.0,4.0,0.9,2024-25
Malcolm Brogdon,15.8,0.7,-1.5,0.1,2024-25
John Konchar,12.1,1.5,1.7,0.5,2024-25
Dwight Powell,12.9,1.7,0.0,0.3,2024-25
Dillon Jones,8.1,0.8,-4.0,-0.3,2024-25
Jordan Goodwin,12.1,1.0,-0.8,0.2,2024-25
Richaun Holmes,19.8,2.0,1.1,0.4,2024-25
Mouhamed Gueye,14.4,1.2,-0.6,0.2,2024-25
Bismack Biyombo,12.2,0.8,-3.6,-0.2,2024-25
Jaylen Clark,12.0,1.6,-0.2,0.2,2024-25
Rob Dillingham,10.2,0.1,-4.2,-0.3,2024-25
Colby Jones,11.4,0.6,-2.8,-0.1,2024-25
Colby Jones,8.6,0.1,-2.7,0.0,2024-25
Colby Jones,12.3,0.5,-2.9,-0.1,2024-25
Craig Porter Jr.,13.1,1.1,1.1,0.4,2024-25
Tristan Vukcevic,17.8,0.7,-0.5,0.2,2024-25
Elfrid Payton,8.5,-0.6,-6.4,-0.6,2024-25
Elfrid Payton,10.6,-0.4,-5.5,-0.3,2024-25
Elfrid Payton,1.7,-0.2,-9.2,-0.2,2024-25
Jamal Cain,11.4,0.4,-3.4,-0.2,2024-25
Keaton Wallace,10.1,0.4,-2.3,0.0,2024-25
Jock Landale,16.0,1.7,0.4,0.3,2024-25
Vince Williams Jr.,9.2,0.4,-2.8,-0.1,2024-25
Wendell Moore Jr.,11.0,0.7,-2.7,-0.1,2024-25
Wendell Moore Jr.,12.4,0.5,0.0,0.1,2024-25
Wendell Moore Jr.,10.0,0.1,-4.7,-0.2,2024-25
Brandon Williams,18.3,1.3,1.0,0.4,2024-25
A.J. Lawson,12.7,0.8,-2.5,-0.1,2024-25
Grant Williams,11.5,0.7,-1.6,0.1,2024-25
Lonnie Walker IV,13.1,0.3,-2.4,0.0,2024-25
Duop Reath,13.7,1.0,-0.3,0.2,2024-25
Reece Beekman,7.5,0.1,-5.4,-0.4,2024-25
Reece Beekman,42.3,0.0,26.0,0.0,2024-25
Reece Beekman,7.2,0.1,-5.6,-0.4,2024-25
Kai Jones,20.2,2.1,2.9,0.6,2024-25
Kai Jones,14.5,0.7,0.6,0.1,2024-25
Kai Jones,24.8,1.4,4.8,0.4,2024-25
Larry Nance Jr.,16.0,1.3,1.8,0.4,2024-25
Collin Gillespie,16.8,1.3,2.5,0.5,2024-25
Rayan Rupert,8.1,0.1,-4.7,-0.3,2024-25
GG Jackson II,9.3,0.1,-5.3,-0.4,2024-25
Jaylon Tyson,11.1,0.8,-2.7,-0.1,2024-25
Bol Bol,18.4,0.9,0.8,0.3,2024-25
Paul Reed,18.6,1.6,2.9,0.5,2024-25
Colin Castleton,11.3,0.7,-5.0,-0.3,2024-25
Colin Castleton,7.4,0.1,-7.1,-0.1,2024-25
Colin Castleton,10.1,0.3,-5.7,-0.3,2024-25
Colin Castleton,16.5,0.3,-2.0,0.0,2024-25
Trevelin Queen,11.9,0.7,-0.3,0.2,2024-25
Malaki Branham,12.0,0.1,-3.2,-0.1,2024-25
Jordan Miller,10.5,0.4,-2.8,-0.1,2024-25
Mo Bamba,13.9,1.0,-0.9,0.1,2024-25
Mo Bamba,14.5,0.9,-0.2,0.2,2024-25
Mo Bamba,10.6,0.1,-4.5,0.0,2024-25
David Roddy,11.9,0.5,-1.5,0.1,2024-25
David Roddy,11.8,0.5,-1.2,0.1,2024-25
David Roddy,19.1,0.0,2.9,0.0,2024-25
David Roddy,7.2,0.0,-8.3,-0.1,2024-25
Taj Gibson,10.8,0.4,-5.3,-0.3,2024-25
Ousmane Dieng,11.5,0.9,-0.9,0.1,2024-25
Jordan Walsh,6.9,0.4,-3.9,-0.2,2024-25
Hunter Tyson,9.0,0.4,-4.8,-0.3,2024-25
Anthony Gill,10.2,0.5,-4.5,-0.3,2024-25
Devin Carter,10.8,0.4,-3.2,-0.1,2024-25
Jeff Green,13.6,1.3,0.4,0.2,2024-25
Trey Jemison,8.9,0.3,-6.8,-0.5,2024-25
Trey Jemison,9.4,0.0,-6.2,-0.2,2024-25
Trey Jemison,8.6,0.3,-7.3,-0.3,2024-25
Reggie Jackson,9.8,0.1,-4.0,-0.2,2024-25
Baylor Scheierman,10.3,0.7,-1.7,0.0,2024-25
Quenton Jackson,14.7,1.0,-0.3,0.2,2024-25
Alex Len,10.6,0.7,-2.6,-0.1,2024-25
Alex Len,13.1,0.6,0.3,0.2,2024-25
Alex Len,5.3,0.0,-8.9,-0.2,2024-25
Johnny Furphy,9.8,0.5,-2.5,0.0,2024-25
Charles Bassey,19.0,1.1,-1.1,0.1,2024-25
Dominick Barlow,14.6,1.0,-2.2,0.0,2024-25
Dante Exum,13.6,0.6,-2.3,0.0,2024-25
Damion Baugh,6.3,-0.5,-7.1,-0.5,2024-25
Jaden Springer,10.7,0.5,-2.7,-0.1,2024-25
Jaden Springer,12.1,0.4,-0.3,0.1,2024-25
Jaden Springer,9.8,0.1,-4.3,-0.1,2024-25
Robert Williams,18.9,1.3,3.0,0.4,2024-25
Doug McDermott,9.5,0.4,-3.2,-0.1,2024-25
Christian Koloko,13.0,0.9,-2.8,-0.1,2024-25
Terrence Shannon Jr.,11.9,0.6,-2.1,0.0,2024-25
Keion Brooks Jr.,12.8,0.4,-3.5,-0.1,2024-25
Tristan Thompson,9.1,0.4,-4.6,-0.2,2024-25
Maxwell Lewis,9.9,0.2,-4.4,-0.2,2024-25
Maxwell Lewis,2.2,0.0,-9.4,-0.1,2024-25
Maxwell Lewis,10.6,0.3,-3.9,-0.1,2024-25
Jevon Carter,12.2,0.3,-2.1,0.0,2024-25
Patty Mills,8.4,0.1,-3.2,-0.1,2024-25
Patty Mills,6.2,-0.2,-4.4,-0.2,2024-25
Patty Mills,17.5,0.3,2.1,0.1,2024-25
Tre Mann,13.3,0.1,-2.4,0.0,2024-25
Jalen Hood-Schifino,7.9,-0.1,-6.9,-0.4,2024-25
Jalen Hood-Schifino,11.5,0.0,-2.4,0.0,2024-25
Jalen Hood-Schifino,7.7,-0.1,-7.1,-0.4,2024-25
Torrey Craig,12.9,0.8,-0.9,0.1,2024-25
Torrey Craig,17.2,0.4,2.3,0.1,2024-25
Torrey Craig,10.5,0.4,-2.7,0.0,2024-25
Jordan McLaughlin,12.3,0.6,-1.6,0.0,2024-25
Jordan McLaughlin,9.4,0.2,-3.5,-0.1,2024-25
Jordan McLaughlin,16.9,0.5,1.3,0.1,2024-25
Matisse Thybulle,17.0,0.9,5.0,0.6,2024-25
Isaac Jones,15.2,0.7,-1.7,0.0,2024-25
Tyler Kolek,10.3,0.4,-2.8,-0.1,2024-25
Mitchell Robinson,20.4,1.3,3.3,0.4,2024-25
Josh Minott,15.5,0.9,2.2,0.3,2024-25
Kobe Brown,10.8,0.5,-2.1,0.0,2024-25
Dru Smith,13.3,0.7,2.1,0.3,2024-25
Isaiah Wong,10.9,0.1,-4.0,-0.1,2024-25
Marvin Bagley III,18.4,0.6,-1.2,0.1,2024-25
Marvin Bagley III,19.9,0.3,-1.0,0.0,2024-25
Marvin Bagley III,15.7,0.3,-1.5,0.0,2024-25
Oscar Tshiebwe,21.0,1.0,-1.4,0.0,2024-25
Drew Timme,11.0,0.0,-6.7,-0.3,2024-25
Marcus Bagley,11.8,0.2,-4.3,-0.1,2024-25
Cam Spencer,14.2,0.8,0.5,0.2,2024-25
Kevin Love,16.2,0.4,0.4,0.2,2024-25
Pat Spencer,12.6,0.3,-1.6,0.0,2024-25
JT Thor,10.0,0.2,-5.4,-0.2,2024-25
JT Thor,19.1,0.1,0.0,0.0,2024-25
JT Thor,8.2,0.1,-6.5,-0.2,2024-25
Branden Carlson,17.6,0.9,1.3,0.2,2024-25
Dariq Whitehead,9.4,0.1,-3.7,-0.1,2024-25
Johnny Davis,10.2,0.1,-2.8,0.0,2024-25
Jaylen Martin,9.1,0.0,-6.3,-0.3,2024-25
Jaylen Martin,12.8,0.0,3.4,0.0,2024-25
Jaylen Martin,9.0,0.0,-6.5,-0.3,2024-25
Bones Hyland,16.0,0.5,2.7,0.3,2024-25
Bones Hyland,16.4,0.4,3.1,0.3,2024-25
Bones Hyland,11.1,0.1,-3.2,0.0,2024-25
Xavier Tillman Sr.,2.4,-0.3,-8.1,-0.4,2024-25
Garrett Temple,8.5,0.2,-3.6,-0.1,2024-25
Jared Rhoden,16.4,0.6,-0.5,0.1,2024-25
Jared Rhoden,5.4,-0.1,-8.6,0.0,2024-25
Jared Rhoden,17.0,0.7,0.0,0.1,2024-25
Luka Garza,18.8,0.7,-2.3,0.0,2024-25
Ariel Hukporti,7.6,0.1,-5.6,-0.2,2024-25
Alex Reese,14.0,0.5,-1.2,0.0,2024-25
Alex Reese,53.6,0.0,19.6,0.0,2024-25
Alex Reese,13.6,0.5,-1.4,0.0,2024-25
Dario Šarić,7.7,0.0,-4.8,-0.1,2024-25
Adam Flagler,3.7,-0.3,-10.3,-0.4,2024-25
Chuma Okeke,15.3,0.6,-0.2,0.1,2024-25
Chuma Okeke,16.5,0.6,0.3,0.1,2024-25
Chuma Okeke,6.8,0.0,-4.1,0.0,2024-25
Drew Peterson,10.5,0.4,-0.8,0.1,2024-25
Markelle Fultz,8.9,-0.1,-4.7,-0.1,2024-25
Lester Quiñones,9.5,-0.1,-6.1,-0.2,2024-25
Lester Quiñones,8.2,-0.1,-10.5,0.0,2024-25
Lester Quiñones,9.7,0.0,-5.6,-0.2,2024-25
Bronny James,7.1,-0.2,-7.2,-0.2,2024-25
Enrique Freeman,7.4,0.2,-6.3,-0.2,2024-25
Cole Swider,6.5,0.0,-7.3,-0.2,2024-25
Cole Swider,-11.0,-0.1,-20.4,-0.1,2024-25
Cole Swider,8.0,0.1,-6.2,-0.2,2024-25
Jaylen Nowell,7.5,-0.2,-5.7,-0.2,2024-25
Markieff Morris,6.0,-0.2,-7.6,-0.2,2024-25
Markieff Morris,0.0,-0.2,-13.1,-0.1,2024-25
Markieff Morris,7.9,0.0,-5.8,-0.1,2024-25
Killian Hayes,12.7,0.3,-0.6,0.1,2024-25
MarJon Beauchamp,12.3,0.1,-4.3,-0.1,2024-25
MarJon Beauchamp,8.5,-0.1,-6.5,-0.1,2024-25
MarJon Beauchamp,22.3,0.1,4.0,0.0,2024-25
MarJon Beauchamp,29.8,0.1,3.7,0.0,2024-25
Lamar Stevens,11.5,0.2,-4.2,-0.1,2024-25
Tyson Etienne,5.6,-0.1,-8.8,-0.3,2024-25
Josh Richardson,4.4,-0.1,-6.7,-0.2,2024-25
Jeenathan Williams,8.6,0.0,-5.7,-0.1,2024-25
Bruno Fernando,15.3,0.3,-0.7,0.1,2024-25
Damion Lee,11.9,-0.1,-5.1,-0.1,2024-25
Oshae Brissett,9.8,0.1,-6.3,-0.1,2024-25
Elijah Harkless,7.8,0.1,-3.8,-0.1,2024-25
Pete Nance,8.5,0.2,-4.9,-0.1,2024-25
Pete Nance,5.3,0.0,-6.3,-0.1,2024-25
Pete Nance,11.5,0.1,-3.5,0.0,2024-25
Vlatko Čančar,4.6,-0.1,-7.1,-0.2,2024-25
Kylor Kelley,12.1,0.3,-5.4,-0.1,2024-25
Kylor Kelley,17.1,0.3,-2.3,0.0,2024-25
Kylor Kelley,6.5,0.0,-8.8,-0.1,2024-25
Alex Ducas,10.1,0.3,-2.0,0.0,2024-25
Spencer Jones,4.5,-0.1,-8.5,-0.2,2024-25
Kobe Bufkin,10.5,0.0,-4.0,-0.1,2024-25
Tyler Smith,15.2,0.2,-0.9,0.0,2024-25
De'Anthony Melton,13.3,0.2,-0.8,0.0,2024-25
Moses Brown,22.4,0.4,0.1,0.1,2024-25
Moses Brown,16.0,0.0,-5.2,0.0,2024-25
Moses Brown,26.3,0.3,3.5,0.1,2024-25
TyTy Washington Jr.,6.5,-0.2,-8.0,-0.2,2024-25
Trey Alexander,2.9,-0.2,-9.7,-0.2,2024-25
Joe Ingles,2.4,-0.1,-7.0,-0.1,2024-25
Sidy Cissoko,6.7,-0.1,-5.1,-0.1,2024-25
Sidy Cissoko,11.2,0.0,-2.6,0.0,2024-25
Sidy Cissoko,2.7,-0.2,-7.3,-0.1,2024-25
Tony Bradley,23.2,0.4,1.2,0.1,2024-25
Jaylen Sims,9.8,0.1,-4.1,-0.1,2024-25
Pacome Dadiet,6.3,0.0,-6.5,-0.1,2024-25
Patrick Baldwin Jr.,16.2,0.2,1.5,0.1,2024-25
Patrick Baldwin Jr.,14.5,0.1,-0.2,0.0,2024-25
Patrick Baldwin Jr.,45.4,0.1,30.7,0.1,2024-25
Chris Livingston,9.8,0.1,-6.1,-0.1,2024-25
Jae Crowder,6.6,0.1,-4.3,-0.1,2024-25
Justin Minaya,5.0,0.0,-5.4,-0.1,2024-25
Keshad Johnson,19.1,0.4,-0.1,0.0,2024-25
Yuki Kawamura,11.0,0.2,-2.8,0.0,2024-25
JD Davison,6.5,-0.2,-6.2,-0.1,2024-25
Luke Travers,1.9,-0.1,-9.7,-0.2,2024-25
Stanley Umude,3.4,-0.2,-8.1,-0.1,2024-25
Kevin Knox,17.1,0.2,-1.3,0.0,2024-25
Isaiah Jackson,18.2,0.3,0.8,0.1,2024-25
Marcus Garrett,8.7,0.0,-7.6,-0.1,2024-25
Jacob Toppin,9.2,0.0,-2.6,0.0,2024-25
Jacob Toppin,4.5,0.0,-6.0,0.0,2024-25
Jacob Toppin,17.9,0.1,3.5,0.0,2024-25
Emoni Bates,9.8,0.1,-1.5,0.0,2024-25
Taylor Hendricks,7.1,0.0,-3.5,0.0,2024-25
Chris Duarte,16.5,0.3,1.2,0.1,2024-25
Daeqwon Plowden,16.1,0.2,-0.1,0.0,2024-25
RayJ Dennis,13.9,0.1,0.7,0.0,2024-25
Josh Christopher,9.4,-0.1,-7.9,-0.1,2024-25
Matt Ryan,6.1,-0.1,-7.5,-0.1,2024-25
Armel Traoré,3.5,-0.1,-9.8,-0.1,2024-25
PJ Hall,18.3,0.2,-1.3,0.0,2024-25
Nae'Qwan Tomlin,14.4,0.1,-5.5,-0.1,2024-25
Jamaree Bouyea,9.7,0.0,-5.4,0.0,2024-25
Cam Christie,9.1,0.0,-2.5,0.0,2024-25
P.J. Tucker,5.5,0.1,-7.2,-0.1,2024-25
Jazian Gortman,6.5,-0.1,-6.3,-0.1,2024-25
Liam Robbins,2.6,-0.1,-10.5,-0.1,2024-25
E.J. Liddell,11.1,0.1,-4.1,0.0,2024-25
Jackson Rowe,15.9,0.2,1.0,0.0,2024-25
N'Faly Dante,24.0,0.3,2.4,0.1,2024-25
Isaiah Crawford,9.2,0.0,-4.1,0.0,2024-25
Mason Jones,20.6,0.2,2.9,0.1,2024-25
Phillip Wheeler,-2.3,-0.3,-18.2,-0.2,2024-25
Malachi Flynn,12.4,0.0,-2.8,0.0,2024-25
Jack McVeigh,4.0,0.0,-7.7,-0.1,2024-25
Bobi Klintman,15.9,0.2,1.0,0.0,2024-25
James Johnson,0.0,-0.1,-9.7,-0.1,2024-25
PJ Dozier,9.5,0.1,0.7,0.0,2024-25
Harrison Ingram,10.9,0.1,-1.2,0.0,2024-25
Miles Norris,8.5,0.0,-1.9,0.0,2024-25
David Duke Jr.,12.2,0.0,-1.5,0.0,2024-25
D.J. Carton,-2.6,-0.1,-11.1,-0.1,2024-25
Bryce McGowens,1.7,-0.1,-13.6,-0.1,2024-25
Leonard Miller,19.9,0.1,-3.7,0.0,2024-25
Ulrich Chomche,5.2,0.0,-7.4,0.0,2024-25
Jalen Bridges,-0.1,-0.1,-12.5,-0.1,2024-25
Jahmir Young,16.8,0.1,0.5,0.0,2024-25
Kevin McCullar Jr.,6.7,0.0,-7.2,0.0,2024-25
Trentyn Flowers,4.3,0.0,-8.3,0.0,2024-25
Emanuel Miller,18.1,0.1,-1.8,0.0,2024-25
Daniss Jenkins,-0.1,-0.1,-15.8,-0.1,2024-25
Anton Watson,5.9,0.0,-10.1,0.0,2024-25
Tolu Smith,19.5,0.1,-8.9,0.0,2024-25
Malevy Leons,-2.3,0.0,-12.4,-0.1,2024-25
Adama Sanogo,15.2,0.0,-2.6,0.0,2024-25
Taze Moore,7.1,-0.1,-4.3,0.0,2024-25
Ron Harper Jr.,7.9,0.0,-14.7,0.0,2024-25
Isaiah Mobley,17.2,0.0,4.7,0.0,2024-25
Yuri Collins,13.9,0.1,0.3,0.0,2024-25
Tristen Newton,-6.1,-0.1,-20.7,-0.1,2024-25
Tristen Newton,-15.3,-0.1,-32.7,-0.1,2024-25
Tristen Newton,3.1,0.0,-8.7,0.0,2024-25
Daishen Nix,-7.0,-0.1,-16.2,0.0,2024-25
Skal Labissière,15.9,0.0,2.1,0.0,2024-25
Braxton Key,1.1,-0.1,-13.6,0.0,2024-25
Cui Yongxi,-10.7,-0.1,-24.9,-0.1,2024-25
Mac McClung,-0.3,0.0,-11.0,0.0,2024-25
Quincy Olivari,-5.2,-0.1,-18.6,0.0,2024-25
Terence Davis,-4.0,0.0,-16.9,0.0,2024-25
Jalen McDaniels,10.9,0.0,5.6,0.0,2024-25
Riley Minix,-1.7,0.0,-11.8,0.0,2024-25
Isaiah Stevens,0.1,0.0,-11.8,0.0,2024-25
Terry Taylor,9.8,0.0,3.3,0.0,2024-25
Jesse Edwards,-0.1,0.0,-4.0,0.0,2024-25
James Wiseman,31.2,0.0,1.6,0.0,2024-25
Alondes Williams,53.4,0.0,44.1,0.0,2024-25
Zyon Pullin,-11.7,0.0,-22.7,0.0,2024-25
Jahlil Okafor,13.8,0.0,7.5,0.0,2024-25
League Average,,,,,2024-25
